Link,https://www.imdb.com/trailers/?ref_=nv_mv_tr

Title and Year,Description,Director,Actors,For Adults?,Poster,Trailer
Lucifer (2015-),Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,Not Found,["Tom Ellis" "Lauren German" "Kevin Alejandro" "D.B. Woodside"],false,https://m.media-amazon.com/images/M/MV5BZTA2NTBkYWUtMzM4Zi00YzhlLTk4NWItY2U1ODczNDMyNDAzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi160283673/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Doctor Who (2005-),The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Not Found,["Jodie Whittaker" "Peter Capaldi" "Pearl Mackie" "Matt Smith"],false,https://m.media-amazon.com/images/M/MV5BNDY1YmZhZjEtY2E3NC00M2VkLThlZmUtODczMmNiZjMxMWRhXkEyXkFqcGdeQXVyNzA5NTYxMDg@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi999012889/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Angel Has Fallen (2019),Secret Service Agent Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,Ric Roman Waugh,["Gerard Butler" "Frederick Schmidt" "Danny Huston" "Rocci Williams"],false,https://m.media-amazon.com/images/M/MV5BYmRmMWZhZGItYzA4MC00ZDYyLWE0OTMtYmM0MWRiN2Q4NGU2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1869200409/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Zombieland: Double Tap (2019),Columbus  Tallahasse  Wichita  and Little Rock move to the American heartland as they face off against evolved zombies  fellow survivors  and the growing pains of the snarky makeshift family.,Ruben Fleischer,["Emma Stone" "Abigail Breslin" "Rosario Dawson" "Zoey Deutch"],false,https://m.media-amazon.com/images/M/MV5BZjhlZWU5NTAtMmZmOS00MDk1LWE2ZDEtZGNiNGZiNDJmNDk1XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1969863705/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
After (2019),A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,Jenny Gage,["Josephine Langford" "Hero Fiennes Tiffin" "Khadijha Red Thunder" "Dylan Arnold"],false,https://m.media-amazon.com/images/M/MV5BOGUwMjk3YzktNDI0Yy00MzFiLWFjNmEtYTA2ODVjMzNhODhjXkEyXkFqcGdeQXVyOTQ1MDI4MzY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi191412761/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Scary Stories to Tell in the Dark (2019),A group of teens face their fears in order to save their lives.,André Øvredal,["Zoe Margaret Colletti" "Michael Garza" "Dean Norris" "Gil Bellows"],false,https://m.media-amazon.com/images/M/MV5BNjNiM2E3NDItNGU5NS00N2UwLTk2YWItZWRmMGFlNjJhYzE3XkEyXkFqcGdeQXVyOTQ5MTIwMjM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi23510041/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
A Beautiful Day in the Neighborhood (2019),Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,Marielle Heller,["Tom Hanks" "Matthew Rhys" "Enrico Colantoni" "Susan Kelechi Watson"],false,https://m.media-amazon.com/images/M/MV5BZGRjZmY2N2EtZTMxMy00M2QyLTg2NDEtNTMxMWVhYTg4ZjNkXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2640624665/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Flash (2014-),After being struck by lightning  Barry Allen wakes up from his coma to discover he's been given the power of super speed  becoming the Flash  fighting crime in Central City.,Not Found,["Grant Gustin" "Candice Patton" "Danielle Panabaker" "Carlos Valdes"],false,https://m.media-amazon.com/images/M/MV5BMjAwNTljOTgtYzk0NS00OGMzLTgzMDUtZDc2YjhjNzU3Yjg5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1667480601/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Walking Dead (2010-),Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins  and must lead a group of survivors to stay alive.,Not Found,["Andrew Lincoln" "Norman Reedus" "Melissa McBride" "Danai Gurira"],false,https://m.media-amazon.com/images/M/MV5BYWY4ODJiZjMtNWMxYi00ZmM5LWIwZmQtZWY0MjJmZGU5MjcxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1633795097/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
It Chapter Two (2019),Twenty-seven years after their first encounter with the terrifying Pennywise  the Losers Club have grown up and moved away  until a devastating phone call brings them back.,Andy Muschietti,["Jessica Chastain" "James McAvoy" "Bill Hader" "Isaiah Mustafa"],false,https://m.media-amazon.com/images/M/MV5BYTJlNjlkZTktNjEwOS00NzI5LTlkNDAtZmEwZDFmYmM2MjU2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi962640921/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Unbelievable (2019-),The true story of Marie  a teenager who was charged with lying about having been raped  and the two female detectives who followed a twisting path to arrive at the truth.,Not Found,["Kaitlyn Dever" "Annaleigh Ashford" "John Hartmann" "Austin Hébert"],false,https://m.media-amazon.com/images/M/MV5BN2Q3OWQ1Y2UtN2E3OS00ODA2LWE1Y2EtYmY5OWMzNWYzMDZmXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi190888985/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Élite (2018-),When three working-class teens enroll in an exclusive private school in Spain  the clash between them and the wealthy students leads to murder.,Not Found,["Itzan Escamilla" "Miguel Bernardeau" "Álvaro Rico" "Arón Piper"],false,https://m.media-amazon.com/images/M/MV5BOTgyOTIwODk3MV5BMl5BanBnXkFtZTgwNTE2MzEzNjM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi828226585/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
